Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.61E+12,2021-01-03 0:00,BTCUSD,32213.64,32268,31981.6,32092.51,24.73013195
1.61E+12,2021-01-02 23:00,BTCUSD,32171.16,32268,31645.44,32213.64,232.2897136
1.61E+12,2021-01-02 22:00,BTCUSD,31720.86,32306.75,31462.35,32171.16,127.4816688
1.61E+12,2021-01-02 21:00,BTCUSD,30671.93,31941.52,29999.99,31720.86,302.0390058
1.61E+12,2021-01-02 20:00,BTCUSD,33090.02,33120.43,30000,30671.93,418.4396014
1.61E+12,2021-01-02 19:00,BTCUSD,33000,33288.22,32718.06,33090.02,217.5191145
1.61E+12,2021-01-02 18:00,BTCUSD,32959.53,33309.76,32500,33000,298.6779561
1.61E+12,2021-01-02 17:00,BTCUSD,32557.78,33058.76,32476,32959.53,171.5877735
1.61E+12,2021-01-02 16:00,BTCUSD,31798.89,33075,31798.89,32557.78,455.3985829
1.61E+12,2021-01-02 15:00,BTCUSD,31342.25,31888,31312.46,31798.89,130.5945484
1.61E+12,2021-01-02 14:00,BTCUSD,31595.88,31622.64,31128.89,31342.25,162.1147283
1.61E+12,2021-01-02 13:00,BTCUSD,30658.33,31595.88,30562.21,31595.88,198.7532327
1.61E+12,2021-01-02 12:00,BTCUSD,29825.29,31000,29815,30658.33,351.9082092
1.61E+12,2021-01-02 11:00,BTCUSD,29749.56,29851.43,29712.68,29825.29,8.620744304
1.61E+12,2021-01-02 10:00,BTCUSD,29645,29879.64,29512.45,29749.56,8.984627932
1.61E+12,2021-01-02 9:00,BTCUSD,29894.55,29957,29645,29645,51.84487489
1.61E+12,2021-01-02 8:00,BTCUSD,29854.94,29920,29726,29894.55,62.67430143
1.61E+12,2021-01-02 7:00,BTCUSD,29798.16,29888.25,29718.64,29854.94,32.51606269
1.61E+12,2021-01-02 6:00,BTCUSD,29666.52,29836.7,29561.31,29798.16,55.25878224
1.61E+12,2021-01-02 5:00,BTCUSD,29454.3,29666.52,29430.49,29666.52,36.78977434
1.61E+12,2021-01-02 4:00,BTCUSD,29441.14,29477.97,29313.31,29454.3,12.53581733
1.61E+12,2021-01-02 3:00,BTCUSD,29425.01,29476.44,29350.16,29441.14,21.48541151
1.61E+12,2021-01-02 2:00,BTCUSD,29442,29573.53,29409.07,29425.01,61.00046394
1.61E+12,2021-01-02 1:00,BTCUSD,29278.36,29492.08,29177.55,29442,28.45712644
1.61E+12,2021-01-02 0:00,BTCUSD,29401.76,29426.51,29045.84,29278.36,65.96770856
1.61E+12,2021-01-01 23:00,BTCUSD,29332.84,29401.76,29321.57,29401.76,35.3660204
1.61E+12,2021-01-01 22:00,BTCUSD,29252.62,29400,29185.34,29332.84,53.61977426
1.61E+12,2021-01-01 21:00,BTCUSD,29314.89,29389.67,29226.3,29252.62,39.73150819
1.61E+12,2021-01-01 20:00,BTCUSD,29122.86,29350,28981.76,29314.89,77.45170414
1.61E+12,2021-01-01 19:00,BTCUSD,29147.45,29200,29020.06,29122.86,59.96844619
1.61E+12,2021-01-01 18:00,BTCUSD,29146.51,29330.93,28698.87,29147.45,138.2458122
1.61E+12,2021-01-01 17:00,BTCUSD,29387.96,29428.42,29040.22,29146.51,62.03716365
1.61E+12,2021-01-01 16:00,BTCUSD,29250.85,29446.1,29205.1,29387.96,23.43279974
1.61E+12,2021-01-01 15:00,BTCUSD,29397.71,29487.37,29100,29250.85,61.56369469
1.61E+12,2021-01-01 14:00,BTCUSD,29548.96,29611.69,29361.14,29397.71,31.57911657
1.61E+12,2021-01-01 13:00,BTCUSD,29323.29,29557.44,29307.98,29548.96,48.01285983
1.61E+12,2021-01-01 12:00,BTCUSD,29399.48,29684.56,29250,29323.29,81.59863979
1.61E+12,2021-01-01 11:00,BTCUSD,29341.42,29472.66,29311.17,29399.48,41.95757627
1.61E+12,2021-01-01 10:00,BTCUSD,29287.27,29412.9,29239.4,29341.42,17.43581739
1.61E+12,2021-01-01 9:00,BTCUSD,29078.65,29373.46,29065,29287.27,19.72101079
1.61E+12,2021-01-01 8:00,BTCUSD,29161.11,29245.58,28942.67,29078.65,51.06025845
1.61E+12,2021-01-01 7:00,BTCUSD,29211.39,29241.93,28894.85,29161.11,189.2753143
1.61E+12,2021-01-01 6:00,BTCUSD,29242.57,29320.56,29157.78,29211.39,50.32979669
1.61E+12,2021-01-01 5:00,BTCUSD,29280,29291.35,29046.95,29242.57,84.33399081
1.61E+12,2021-01-01 4:00,BTCUSD,29363.61,29449.31,29138.55,29280,26.93767312
1.61E+12,2021-01-01 3:00,BTCUSD,29252.99,29398.53,29237.94,29363.61,26.29697664
1.61E+12,2021-01-01 2:00,BTCUSD,29468.55,29524,29161.83,29252.99,47.63278556
1.61E+12,2021-01-01 1:00,BTCUSD,29078.48,29524,29028.91,29468.55,181.1015791
1.61E+12,2021-01-01 0:00,BTCUSD,28979.74,29108.58,28765,29078.48,46.99566066
1.61E+12,2020-12-31 23:00,BTCUSD,29164.46,29170.67,28838.57,28979.74,51.03479844
1.61E+12,2020-12-31 22:00,BTCUSD,29002.39,29185,28942.2,29164.46,101.8604819
1.61E+12,2020-12-31 21:00,BTCUSD,29170,29200,28953.16,29002.39,66.59781739
1.61E+12,2020-12-31 20:00,BTCUSD,28941.54,29180,28921.01,29170,96.87131146
1.61E+12,2020-12-31 19:00,BTCUSD,28923.07,29028.43,28784.14,28941.54,148.6370436
1.61E+12,2020-12-31 18:00,BTCUSD,28592.88,28946.99,28510.96,28923.07,152.9344948
1.61E+12,2020-12-31 17:00,BTCUSD,28396.92,28746.61,28388.22,28592.88,101.5329723
1.61E+12,2020-12-31 16:00,BTCUSD,28825.94,28849,28310.27,28396.92,81.84999086
1.61E+12,2020-12-31 15:00,BTCUSD,28402.08,28849,28393.63,28825.94,79.33896453
1.61E+12,2020-12-31 14:00,BTCUSD,28539.6,28560.83,28118.15,28402.08,213.3603614
1.61E+12,2020-12-31 13:00,BTCUSD,28680.59,28680.59,27950,28539.6,203.5416877
1.61E+12,2020-12-31 12:00,BTCUSD,28978.35,29000,28441.56,28680.59,87.63439498
1.61E+12,2020-12-31 11:00,BTCUSD,29170.93,29170.93,28910.23,28978.35,20.47662584
1.61E+12,2020-12-31 10:00,BTCUSD,29002.03,29183.25,28980.15,29170.93,22.06520858
1.61E+12,2020-12-31 9:00,BTCUSD,28937.34,29088.83,28589.78,29002.03,45.47013794
1.61E+12,2020-12-31 8:00,BTCUSD,29182.03,29239.3,28775,28937.34,50.71730034
1.61E+12,2020-12-31 7:00,BTCUSD,28879.66,29299.89,28879.66,29182.03,40.76417579
1.61E+12,2020-12-31 6:00,BTCUSD,28987.08,29089.99,28854.99,28879.66,53.54910768
1.61E+12,2020-12-31 5:00,BTCUSD,29049.92,29049.92,28755.32,28987.08,66.24121754
1.61E+12,2020-12-31 4:00,BTCUSD,29041.41,29199.9,28864.26,29049.92,94.55432492
1.61E+12,2020-12-31 3:00,BTCUSD,28729.04,29150,28721.57,29041.41,79.84952485
1.61E+12,2020-12-31 2:00,BTCUSD,28764.35,28820.8,28623.24,28729.04,84.50823852
1.61E+12,2020-12-31 1:00,BTCUSD,29096.6,29191.08,28177.8,28764.35,346.2171694
1.61E+12,2020-12-31 0:00,BTCUSD,28898.55,29316.49,28889.66,29096.6,149.8986355
1.61E+12,2020-12-30 23:00,BTCUSD,28713.18,28930.98,28661.93,28898.55,49.1531978
1.61E+12,2020-12-30 22:00,BTCUSD,28916.95,28943.74,28606.89,28713.18,94.47453543
1.61E+12,2020-12-30 21:00,BTCUSD,28783.62,28998,28559.79,28916.95,273.4292262
1.61E+12,2020-12-30 20:00,BTCUSD,28788.87,28998,28637.55,28783.62,197.9723301
1.61E+12,2020-12-30 19:00,BTCUSD,28527.79,28908.63,28482.74,28788.87,269.9308981
1.61E+12,2020-12-30 18:00,BTCUSD,28260.95,28535.25,28245.22,28527.79,134.3371796
1.61E+12,2020-12-30 17:00,BTCUSD,28146.72,28310,28036.45,28260.95,151.3661591
1.61E+12,2020-12-30 16:00,BTCUSD,28162.42,28242.24,27900.02,28146.72,60.20118742
1.61E+12,2020-12-30 15:00,BTCUSD,28185.72,28284.33,28019.97,28162.42,81.18508851
1.61E+12,2020-12-30 14:00,BTCUSD,27839.56,28189.8,27839.56,28185.72,93.38372968
1.61E+12,2020-12-30 13:00,BTCUSD,27848.03,28165.72,27746.59,27839.56,79.80397612
1.61E+12,2020-12-30 12:00,BTCUSD,27820.7,27926.13,27564.69,27848.03,58.93854981
1.61E+12,2020-12-30 11:00,BTCUSD,27848.93,27938.49,27564.7,27820.7,41.35868218
1.61E+12,2020-12-30 10:00,BTCUSD,27841.79,28034.13,27729.63,27848.93,24.26037473
